NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,state,county,tract,County
Census Tract 202.02; Chatham County; North Carolina,3842.0,246.0,18.0,32.0,17.0,128.0,51.0,0.0,0.0,37,37,202.02,Chatham County
Census Tract 202.03; Chatham County; North Carolina,2477.0,424.0,5.0,21.0,11.0,164.0,66.0,50.0,107.0,37,37,202.03,Chatham County
Census Tract 203; Chatham County; North Carolina,2825.0,373.0,0.0,14.0,32.0,197.0,112.0,0.0,18.0,37,37,203,Chatham County
Census Tract 204.01; Chatham County; North Carolina,5983.0,1818.0,260.0,403.0,255.0,774.0,59.0,44.0,23.0,37,37,204.01,Chatham County
Census Tract 204.02; Chatham County; North Carolina,4445.0,1060.0,4.0,30.0,129.0,787.0,81.0,18.0,11.0,37,37,204.02,Chatham County
Census Tract 205; Chatham County; North Carolina,3724.0,328.0,0.0,15.0,11.0,47.0,44.0,74.0,137.0,37,37,205,Chatham County
Census Tract 206; Chatham County; North Carolina,4364.0,309.0,0.0,0.0,40.0,33.0,88.0,106.0,42.0,37,37,206,Chatham County
Census Tract 207.02; Chatham County; North Carolina,4889.0,312.0,17.0,0.0,36.0,235.0,24.0,0.0,0.0,37,37,207.02,Chatham County
Census Tract 207.03; Chatham County; North Carolina,5001.0,78.0,0.0,0.0,0.0,23.0,37.0,16.0,2.0,37,37,207.03,Chatham County
Census Tract 207.04; Chatham County; North Carolina,2951.0,296.0,0.0,49.0,86.0,107.0,41.0,13.0,0.0,37,37,207.04,Chatham County
Census Tract 208.01; Chatham County; North Carolina,4359.0,156.0,16.0,0.0,14.0,68.0,57.0,1.0,0.0,37,37,208.01,Chatham County
Census Tract 208.02; Chatham County; North Carolina,2379.0,425.0,88.0,0.0,0.0,277.0,60.0,0.0,0.0,37,37,208.02,Chatham County
Census Tract 208.03; Chatham County; North Carolina,2456.0,248.0,0.0,20.0,24.0,99.0,81.0,24.0,0.0,37,37,208.03,Chatham County
Census Tract 601.01; Davidson County; North Carolina,5992.0,351.0,0.0,17.0,14.0,235.0,68.0,0.0,17.0,37,57,601.01,Davidson County
Census Tract 601.03; Davidson County; North Carolina,2707.0,47.0,0.0,0.0,0.0,20.0,27.0,0.0,0.0,37,57,601.03,Davidson County
Census Tract 601.04; Davidson County; North Carolina,6543.0,638.0,119.0,107.0,165.0,95.0,94.0,44.0,14.0,37,57,601.04,Davidson County
Census Tract 602.01; Davidson County; North Carolina,4130.0,112.0,0.0,0.0,0.0,37.0,21.0,42.0,12.0,37,57,602.01,Davidson County
Census Tract 602.02; Davidson County; North Carolina,2432.0,412.0,80.0,43.0,58.0,154.0,54.0,23.0,0.0,37,57,602.02,Davidson County
Census Tract 602.03; Davidson County; North Carolina,6225.0,171.0,0.0,38.0,45.0,66.0,22.0,0.0,0.0,37,57,602.03,Davidson County
Census Tract 603.01; Davidson County; North Carolina,4848.0,465.0,27.0,31.0,0.0,233.0,50.0,59.0,65.0,37,57,603.01,Davidson County
Census Tract 603.02; Davidson County; North Carolina,4835.0,572.0,10.0,11.0,92.0,312.0,112.0,35.0,0.0,37,57,603.02,Davidson County
Census Tract 603.03; Davidson County; North Carolina,4270.0,336.0,0.0,0.0,26.0,218.0,58.0,34.0,0.0,37,57,603.03,Davidson County
Census Tract 603.04; Davidson County; North Carolina,3570.0,269.0,34.0,31.0,20.0,117.0,37.0,30.0,0.0,37,57,603.04,Davidson County
Census Tract 604; Davidson County; North Carolina,5342.0,623.0,116.0,35.0,48.0,341.0,49.0,34.0,0.0,37,57,604,Davidson County
Census Tract 605; Davidson County; North Carolina,5628.0,1183.0,142.0,172.0,18.0,739.0,53.0,59.0,0.0,37,57,605,Davidson County
Census Tract 606.01; Davidson County; North Carolina,4671.0,233.0,0.0,0.0,6.0,188.0,39.0,0.0,0.0,37,57,606.01,Davidson County
Census Tract 606.02; Davidson County; North Carolina,3364.0,241.0,0.0,70.0,33.0,138.0,0.0,0.0,0.0,37,57,606.02,Davidson County
Census Tract 607; Davidson County; North Carolina,6122.0,1198.0,131.0,155.0,141.0,609.0,112.0,50.0,0.0,37,57,607,Davidson County
Census Tract 608; Davidson County; North Carolina,4548.0,1039.0,112.0,131.0,79.0,547.0,74.0,13.0,83.0,37,57,608,Davidson County
Census Tract 609; Davidson County; North Carolina,3972.0,782.0,54.0,149.0,68.0,486.0,22.0,0.0,3.0,37,57,609,Davidson County
Census Tract 610; Davidson County; North Carolina,5142.0,727.0,157.0,102.0,27.0,266.0,175.0,0.0,0.0,37,57,610,Davidson County
